Wed Aug  6 23:01:12 2025    output.prof

         20307161 function calls (20296670 primitive calls) in 75.552 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.007    0.007 /usr/lib/python3.10/platform.py:1(<module>)
      361    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
        1    0.000    0.000    0.007    0.007 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/bpy/4.0/scripts/addons/io_scene_gltf2/blender/imp/gltf2_blender_node.py:1(<module>)
       15    0.007    0.000    0.007    0.000 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/numpy/_core/numeric.py:290(full)
   360/48    0.002    0.000    0.006    0.000 /usr/lib/python3.10/sre_compile.py:87(_compile)
   104/99    0.000    0.000    0.006    0.000 /usr/lib/python3.10/typing.py:401(__getitem__)
       99    0.000    0.000    0.006    0.000 /usr/lib/python3.10/typing.py:483(Union)
      229    0.001    0.000    0.006    0.000 /usr/lib/python3.10/typing.py:1016(__init__)
      181    0.006    0.000    0.006    0.000 /usr/lib/python3.10/sre_compile.py:292(_optimize_charset)
        1    0.000    0.000    0.006    0.006 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/numpy/_typing/_dtype_like.py:1(<module>)
      170    0.006    0.000    0.006    0.000 {built-in method io.open}
     3660    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
       15    0.006    0.000    0.006    0.000 {built-in method numpy.arange}
        1    0.000    0.000    0.006    0.006 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/numpy/_core/numeric.py:1(<module>)
       60    0.000    0.000    0.005    0.000 /usr/lib/python3.10/typing.py:1040(__or__)
      662    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
        1    0.000    0.000    0.005    0.005 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/bpy/4.0/scripts/addons/io_scene_gltf2/blender/imp/gltf2_blender_mesh.py:1(<module>)
        1    0.000    0.000    0.005    0.005 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/bpy/4.0/scripts/startup/bl_ui/properties_render.py:1(<module>)
      156    0.005    0.000    0.005    0.000 {built-in method builtins.print}
     1962    0.005    0.000    0.005    0.000 {built-in method posix.stat}
      319    0.000    0.000    0.005    0.000 /usr/lib/python3.10/typing.py:664(__init__)
        1    0.000    0.000    0.005    0.005 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/yaml/reader.py:1(<module>)
        1    0.000    0.000    0.005    0.005 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/yaml/reader.py:45(Reader)
        1    0.000    0.000    0.005    0.005 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/bpy/4.0/scripts/addons/cycles/properties.py:1748(register)
        1    0.000    0.000    0.005    0.005 /usr/lib/python3.10/pathlib.py:1(<module>)
      265    0.001    0.000    0.005    0.000 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/numpy/_core/overrides.py:142(decorator)
     1539    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
       15    0.000    0.000    0.004    0.000 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/bpy/4.0/scripts/addons/io_scene_gltf2/__init__.py:1770(set_debug_log)
    37053    0.004    0.000    0.004    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.004    0.004 generate_data.py:793(parse_args)
        1    0.000    0.000    0.004    0.004 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/yaml/resolver.py:1(<module>)
      670    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:391(cached)
        1    0.000    0.000    0.004    0.004 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/bpy/4.0/scripts/startup/bl_ui/space_userpref.py:1(<module>)
      103    0.000    0.000    0.004    0.000 /usr/lib/python3.10/ast.py:33(parse)
        1    0.000    0.000    0.004    0.004 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/numpy/_typing/_array_like.py:1(<module>)
        1    0.000    0.000    0.004    0.004 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/numpy/_core/shape_base.py:1(<module>)
        1    0.000    0.000    0.004    0.004 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/numpy/_typing/_char_codes.py:1(<module>)
       50    0.000    0.000    0.004    0.000 /usr/lib/python3.10/typing.py:407(__getitem__)
      339    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
       48    0.000    0.000    0.004    0.000 /usr/lib/python3.10/sre_compile.py:560(_compile_info)
        1    0.000    0.000    0.003    0.003 /usr/lib/python3.10/argparse.py:1713(__init__)
        1    0.000    0.000    0.003    0.003 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/bpy/4.0/scripts/addons/io_scene_gltf2/blender/imp/gltf2_blender_material.py:1(<module>)
        1    0.000    0.000    0.003    0.003 /usr/lib/python3.10/logging/__init__.py:1(<module>)
        1    0.000    0.000    0.003    0.003 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/bpy/4.0/scripts/addons/io_scene_gltf2/io/imp/gltf2_io_gltf.py:1(<module>)
       13    0.000    0.000    0.003    0.000 /usr/lib/python3.10/argparse.py:1411(add_argument)
       50    0.000    0.000    0.003    0.000 /usr/lib/python3.10/typing.py:532(Literal)
      473    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
        1    0.000    0.000    0.003    0.003 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/numpy/_core/fromnumeric.py:1(<module>)
      331    0.003    0.000    0.003    0.000 {built-in method io.open_code}
     3660    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
        1    0.000    0.000    0.003    0.003 /usr/lib/python3.10/subprocess.py:1(<module>)
       13    0.000    0.000    0.003    0.000 /usr/lib/python3.10/argparse.py:2565(_get_formatter)
       13    0.000    0.000    0.003    0.000 /usr/lib/python3.10/argparse.py:170(__init__)
       55    0.001    0.000    0.003    0.000 generate_data.py:97(distance_too_close)
      373    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:169(__enter__)
       20    0.000    0.000    0.003    0.000 /usr/lib/python3.10/glob.py:13(glob)
        1    0.000    0.000    0.003    0.003 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/bpy/4.0/scripts/addons/io_scene_gltf2/blender/imp/gltf2_blender_pbrMetallicRoughness.py:1(<module>)
      703    0.002    0.000    0.003    0.000 /usr/lib/python3.10/posixpath.py:71(join)
